CCAA,CovidStatusID,FECHA,Hospitalizados,UCI,Fallecidos
AN,AN_2020-02-20T00:00Z,2020-02-20T00:00:00Z,0,0,0
AR,AR_2020-02-20T00:00Z,2020-02-20T00:00:00Z,0,0,0
AS,AS_2020-02-20T00:00Z,2020-02-20T00:00:00Z,0,0,0
IB,IB_2020-02-20T00:00Z,2020-02-20T00:00:00Z,0,0,0
CN,CN_2020-02-20T00:00Z,2020-02-20T00:00:00Z,0,0,0
CB,CB_2020-02-20T00:00Z,2020-02-20T00:00:00Z,0,0,0
CM,CM_2020-02-20T00:00Z,2020-02-20T00:00:00Z,0,0,0
CL,CL_2020-02-20T00:00Z,2020-02-20T00:00:00Z,0,0,0
CT,CT_2020-02-20T00:00Z,2020-02-20T00:00:00Z,0,0,0
CE,CE_2020-02-20T00:00Z,2020-02-20T00:00:00Z,0,0,0
VC,VC_2020-02-20T00:00Z,2020-02-20T00:00:00Z,26,0,0
EX,EX_2020-02-20T00:00Z,2020-02-20T00:00:00Z,0,0,0
GA,GA_2020-02-20T00:00Z,2020-02-20T00:00:00Z,0,0,0
MD,MD_2020-02-20T00:00Z,2020-02-20T00:00:00Z,0,0,0
ML,ML_2020-02-20T00:00Z,2020-02-20T00:00:00Z,0,0,0
MC,MC_2020-02-20T00:00Z,2020-02-20T00:00:00Z,0,0,0
NC,NC_2020-02-20T00:00Z,2020-02-20T00:00:00Z,0,0,0
PV,PV_2020-02-20T00:00Z,2020-02-20T00:00:00Z,0,0,0
RI,RI_2020-02-20T00:00Z,2020-02-20T00:00:00Z,0,0,0
AN,AN_2020-02-21T00:00Z,2020-02-21T00:00:00Z,0,0,0
AR,AR_2020-02-21T00:00Z,2020-02-21T00:00:00Z,0,0,0
AS,AS_2020-02-21T00:00Z,2020-02-21T00:00:00Z,0,0,0
IB,IB_2020-02-21T00:00Z,2020-02-21T00:00:00Z,0,0,0
CN,CN_2020-02-21T00:00Z,2020-02-21T00:00:00Z,0,0,0
CB,CB_2020-02-21T00:00Z,2020-02-21T00:00:00Z,0,0,0
CM,CM_2020-02-21T00:00Z,2020-02-21T00:00:00Z,0,0,0
